Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Business City,Business State
Secondhand Dealer [General] - 006,Misrepresentation - M01,01/09/2017,03/09/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Debt Collection Agency - 122,Billing Dispute - B02,04/06/2018,04/18/2018,Resolved and Consumer Satisfied - SPF,Yes,PLANTATION,FL
Home Improvement Contractor - 100,Breach of Contract - B03,06/23/2017,08/22/2017,Resolved and Consumer Satisfied - SPF,Yes,VALLEY STREAM,NY
Tow Truck Company - 124,Misrepresentation - M01,04/10/2017,05/09/2017,Cash Amount - AMT,Yes,BROOKLYN,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,09/06/2017,09/28/2017,Goods Exchanged - GEX,Yes,BRONX,NY
Misc Non-Food Retail - 817,Damaged Goods - D01,04/14/2017,05/12/2017,Cash Amount - AMT,Yes,BAYVILLE,NY
Debt Collection Agency - 122,Misrepresentation - M01,02/13/2018,02/14/2018,Resolved and Consumer Satisfied - SPF,Yes,HOLLADAY,UT
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,05/24/2018,05/30/2018,Cash Amount - AMT,Yes,NEW YORK,NY
Auto Rental - 213,Misrepresentation - M01,01/02/2018,01/18/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,PARK RIDGE,NJ
Debt Collection Agency - 122,Billing Dispute - B02,01/05/2018,01/30/2018,Resolved and Consumer Satisfied - SPF,Yes,MURFREESBORO,TN
Tow Truck Company - 124,Surcharge/Overcharge - S02,03/28/2017,04/04/2017,Cash Amount - AMT,Yes,BAYSIDE,NY
Appliances - 244,Exchange Goods/Contract Cancelled - E01,01/04/2017,01/25/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,ATLANTA,GA
Home Improvement Contractor - 100,Quality of Work - Q01,12/20/2016,02/16/2017,Consumer Took Action - CTA,No,STATEN ISLAND,NY
Electronic Store - 001,Misrepresentation - M01,01/05/2018,02/01/2018,Bill Reduced - BLR,Yes,OVERLAND PARK,KS
Dry Cleaners - 230,Closed without Notice,09/28/2017,10/17/2017,Goods Received - GDR,Yes,BROOKLYN,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,04/06/2018,05/22/2018,Advised to Sue - ATS,No,BROOKLYN,NY
Tow Truck Company - 124,Misrepresentation - M01,12/28/2017,01/23/2018,Cash Amount - AMT,Yes,COLLEGE POINT,NY
Electronic Store - 001,Advertising/General - A01,09/29/2017,10/30/2017,Bill Reduced - BLR,Yes,OVERLAND,KS
Retail Store - 820,Exchange Goods/Contract Cancelled - E01,03/29/2018,04/18/2018,No Satisfactory Preempted - NSP,,NEW YORK,NY
Tax Preparers - 891,Misrepresentation - M01,08/29/2018,08/30/2018,Referred to Outside - RTO,,BRONX,NY
Furniture Sales - 242,Damaged Goods - D01,12/08/2017,12/14/2017,No Satisfactory Agreement - NSA,No,BROOKLYN,NY
Tow Truck Company - 124,Misrepresentation - M01,03/30/2018,04/13/2018,Complaint Invalid - CIN,,GLEN OAKS,NY
Tow Truck Company - 124,Billing Dispute - B02,07/20/2017,07/25/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Secondhand Dealer Auto - 005,Billing Dispute - B02,06/20/2017,07/07/2017,Cash Amount - AMT,Yes,BRONX,NY
Home Improvement Contractor - 100,Breach of Contract - B03,08/24/2018,09/20/2018,Advised to Sue - ATS,No,EAST PATCHOGUE,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,09/29/2017,11/03/2017,Advised to Sue - ATS,No,RICHMOND HILL,NY
Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,01/19/2017,02/06/2017,Referred to Outside - RTO,,BROOKLYN,NY
Electronic & Home Appliance Service Dealer - 115,Defective Goods - D02,04/20/2018,04/30/2018,Store Credit - SCR,Yes,FARMINGDALE,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,01/19/2017,02/07/2017,Referred to Outside - RTO,,NEW YORK,NY
Misc Non-Food Retail - 817,Refund Policy - R01,04/26/2017,05/02/2017,Consumer Withdrew Complaint - CWC,,NEW YORK,NY
Home Improvement Contractor - 100,Quality of Work - Q01,12/29/2016,01/24/2017,No Satisfactory Agreement - NSA,No,EAST MEADOW,NY
Tow Truck Company - 124,Misrepresentation - M01,05/25/2018,06/05/2018,Cash Amount - AMT,Yes,BAYSIDE,NY
Debt Settlement - 248,Billing Dispute - B02,11/03/2017,11/21/2017,Resolved and Consumer Satisfied - SPF,Yes,FRISCO,TX
Furniture Sales - 242,Damaged Goods - D01,04/05/2017,05/12/2017,No Consumer Response - NCR,,BROOKLYN,NY
Debt Collection Agency - 122,Billing Dispute - B02,04/27/2017,05/19/2017,Resolved and Consumer Satisfied - SPF,Yes,HOUSTON,TX
Electronic Store - 001,Misrepresentation - M01,06/05/2018,06/22/2018,Cash Amount - AMT,Yes,RIDGEWOOD,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,12/21/2016,01/03/2017,Resolved and Consumer Satisfied - SPF,Yes,FLUSHING,NY
Debt Collection Agency - 122,Billing Dispute - B02,09/18/2018,09/26/2018,Bill Reduced - BLR,Yes,RENTON,WA
Debt Collection Agency - 122,Billing Dispute - B02,05/05/2017,05/23/2017,Bill Reduced - BLR,Yes,ROSWELL,GA
Home Improvement Contractor - 100,Quality of Work - Q01,08/09/2017,09/15/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Debt Collection Agency - 122,Harassment - H01,10/26/2017,11/16/2017,Resolved and Consumer Satisfied - SPF,Yes,TAMPA,FL
Garage - 049,Damaged Goods - D01,12/21/2017,01/24/2018,Advised to Sue - ATS,No,NEW YORK,NY
Dry Cleaners - 230,Damaged Goods - D01,12/04/2017,12/19/2017,Cash Amount - AMT,Yes,KEW GARDENS,NY
Garage - 049,Damaged Goods - D01,03/20/2017,03/28/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Supermarket - 819,Advertising/General - A01,02/27/2018,03/05/2018,Resolved and Consumer Satisfied - SPF,Yes,FRESH MEADOWS,NY
Secondhand Dealer Auto - 005,Defective Goods - D02,06/13/2017,06/21/2017,Referred to Outside - RTO,,QUEENS VLG,NY
Dealer In Products For The Disabled - 119,Exchange Goods/Contract Cancelled - E01,09/29/2017,10/24/2017,Goods Repaired - GRS,Yes,NEW YORK,NY
Debt Collection Agency - 122,Misrepresentation - M01,08/11/2017,08/29/2017,Resolved and Consumer Satisfied - SPF,Yes,FARMINGDALE,NY
Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,03/20/2017,04/04/2017,No Business Response - NVR,No,BROOKLYN,NY
Travel Agency - 440,Advertising/General - A01,12/29/2017,02/02/2018,Cash Amount - AMT,Yes,BROOKLYN,NY
Restaurant - 818,Surcharge/Overcharge - S02,08/07/2018,08/13/2018,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY
Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,07/28/2017,09/13/2017,No Satisfactory Preempted - NSP,,MANCHESTER,CT
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,01/03/2018,01/08/2018,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Secondhand Dealer Auto - 005,Advertising/General - A01,10/16/2017,11/20/2017,Advised to Sue - ATS,No,JAMAICA,NY
Electronic Store - 001,Defective Goods - D02,04/27/2018,05/11/2018,Resolved and Consumer Satisfied - SPF,Yes,FARMINGDALE,NY
Garage & Parking Lot - 098,Surcharge/Overcharge - S02,10/13/2017,10/25/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,03/15/2017,03/27/2017,Cash Amount - AMT,Yes,BRONX,NY
Secondhand Dealer Auto - 005,Breach of Contract - B03,01/03/2017,02/16/2017,Goods Received - GDR,Yes,LONG ISLAND CITY,NY
Home Improvement Contractor - 100,Breach of Contract - B03,09/06/2017,10/25/2017,Advised to Sue - ATS,No,QUEENS VLG,NY
Tow Truck Company - 124,Billing Dispute - B02,05/24/2018,06/21/2018,Referred to Outside - RTO,,S OZONE PARK,NY
Tow Truck Company - 124,Misrepresentation - M01,07/14/2017,07/20/2017,Cash Amount - AMT,Yes,QUEENS VILLAGE,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,11/06/2017,11/24/2017,Cash Amount - AMT,Yes,BROOKLYN,NY
Jewelry Store-Retail - 823,Surcharge/Overcharge - S02,03/13/2017,03/17/2017,Consumer Took Action - CTA,No,NEW YORK,NY
Garage - 049,Misrepresentation - M01,11/21/2017,12/04/2017,Cash Amount - AMT,Yes,BRONX,NY
Home Improvement Contractor - 100,Breach of Contract - B03,07/14/2017,08/10/2017,Goods Repaired - GRS,Yes,JAMAICA,NY
Debt Collection Agency - 122,Misrepresentation - M01,08/04/2017,08/15/2017,Resolved and Consumer Satisfied - SPF,Yes,RONKONKOMA,NY
Furniture Sales - 242,Breach of Warranty - B04,02/10/2017,03/21/2017,Advised to Sue - ATS,No,ASTORIA,NY
Debt Collection Agency - 122,Misrepresentation - M01,06/12/2018,07/02/2018,Bill Reduced - BLR,Yes,OMAHA,NE
Home Improvement Contractor - 100,Breach of Contract - B03,09/14/2017,10/16/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Furniture Sales - 242,Damaged Goods - D01,10/04/2017,11/06/2017,Cash Amount - AMT,Yes,LIVERPOOL,NY
Locksmith - 062,Surcharge/Overcharge - S02,12/22/2017,01/10/2018,Unable to Locate Business - ULV,,BROOKLYN,NY
Misc Non-Food Retail - 817,Non-Delivery of Service - N02,03/15/2017,04/19/2017,Advised to Sue - ATS,No,BREEZY POINT,NY
Furniture Sales - 242,Wrong Goods - W01,09/22/2017,10/02/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Tow Truck Company - 124,Billing Dispute - B02,01/25/2018,02/07/2018,Referred to Outside - RTO,,BRONX,NY
Debt Collection Agency - 122,Billing Dispute - B02,02/09/2017,02/27/2017,Resolved and Consumer Satisfied - SPF,Yes,TARRYTOWN,NY
Pawnbroker - 080,Closed without Notice,12/27/2016,01/05/2017,Advised to Sue - ATS,No,JAMAICA,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,05/31/2017,07/18/2017,Advised to Sue - ATS,No,HOFFMAN ESTATES,IL
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,05/09/2017,05/31/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,FLUSHING,NY
Debt Collection Agency - 122,Billing Dispute - B02,03/13/2017,03/28/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,SAN FRANCISCO,CA
Furniture Sales - 242,Misrepresentation - M01,06/01/2018,07/10/2018,Referred to Outside - RTO,,HOUSTON,TX
Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,02/03/2017,03/09/2017,No Consumer Response - NCR,,SOUTH RICHMOND HILL,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,01/20/2017,02/07/2017,Referred to Hearing - RTH,No,BRONX,NY
Garage & Parking Lot - 098,Surcharge/Overcharge - S02,06/26/2017,08/18/2017,Cash Amount - AMT,Yes,WOODBURY,NY
Tow Truck Company - 124,Billing Dispute - B02,03/16/2018,04/18/2018,Advised to Sue - ATS,No,BETHPAGE,NY
Appliances - 244,Non-Delivery of Service - N02,07/13/2018,07/31/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,MADISON,WI
Appliances - 244,Misrepresentation - M01,04/06/2017,05/19/2017,Referred to Manufacturer - RMF,,ATLANTA,GA
Furniture Sales - 242,Misrepresentation - M01,02/02/2018,03/06/2018,No Satisfactory Agreement - NSA,No,BRONX,NY
Home Improvement Contractor - 100,Quality of Work - Q01,06/05/2018,08/03/2018,Advised to Sue - ATS,No,PEARL RIVER,NY
Tow Truck Company - 124,Misrepresentation - M01,03/17/2017,04/20/2017,Referred to Hearing - RTH,No,SPRINGFIELD GAR,NY
Home Improvement Contractor - 100,Damaged Goods - D01,05/31/2017,07/17/2017,Advised to Sue - ATS,No,KEW GARDENS,NY
Electronic Store - 001,Advertising/Misleading - A02,08/10/2017,09/11/2017,No Consumer Response - NCR,,NEW YORK,NY
Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,04/12/2017,04/25/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Appliances - 244,Exchange Goods/Contract Cancelled - E01,08/30/2017,09/25/2017,Goods Exchanged - GEX,Yes,MOORESVILLE,NC
Hotel/Motel - 460,Breach of Contract - B03,06/27/2017,07/11/2017,Resolved and Consumer Satisfied - SPF,Yes,FLUSHING,NY
Misc Non-Food Retail - 817,Non-Delivery of Service - N02,07/13/2018,09/04/2018,No Consumer Response - NCR,,PLAINVIEW,NY
Furniture Sales - 242,Non-Delivery of Goods - N01,05/03/2017,05/19/2017,Unable to Locate Business - ULV,,BROOKLYN,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,03/27/2017,03/30/2017,Cash Amount - AMT,Yes,BROOKLYN,NY
Debt Collection Agency - 122,Misrepresentation - M01,05/02/2017,05/17/2017,Resolved and Consumer Satisfied - SPF,Yes,NORFOLK,VA
Home Improvement Contractor - 100,Exchange Goods/Contract Cancelled - E01,11/17/2017,01/19/2018,Advised to Sue - ATS,No,BRONX,NY
Home Improvement Contractor - 100,Quality of Work - Q01,03/10/2017,05/04/2017,Resolved and Consumer Satisfied - SPF,Yes,FLORAL PARK,NY
Home Improvement Contractor - 100,Breach of Contract - B03,02/02/2018,03/06/2018,No Satisfactory Agreement - NSA,No,STATEN ISLAND,NY
Furniture Sales - 242,Damaged Goods - D01,06/15/2018,07/06/2018,Referred to Outside - RTO,,PASSAIC,NJ
Home Improvement Contractor - 100,Quality of Work - Q01,11/03/2017,12/06/2017,Goods Repaired - GRS,Yes,BROOKLYN,NY
Appliances - 244,Misrepresentation - M01,06/06/2017,07/19/2017,No Business Response - NVR,No,STATEN ISLAND,NY
Secondhand Dealer Auto - 005,Misrepresentation - M01,01/12/2018,02/01/2018,Referred to Outside - RTO,,LONG ISLAND CITY,NY
Debt Collection Agency - 122,Billing Dispute - B02,04/20/2018,05/01/2018,Resolved and Consumer Satisfied - SPF,Yes,RENTON,WA
Home Improvement Contractor - 100,Outstanding Judgment - J01,06/09/2017,08/02/2017,Agency Collected Judgement - ACJ,Yes,OZONE PARK,NY
Other,Billing Dispute - B02,02/10/2017,02/21/2017,No Satisfactory Agreement - NSA,No,MONSEY,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,03/06/2017,04/07/2017,Consumer Took Action - CTA,No,BRONX,NY
Misc Non-Food Retail - 817,Defective Goods - D02,09/07/2017,10/17/2017,Goods Exchanged - GEX,Yes,ASTORIA,NY
Secondhand Dealer Auto - 005,Misrepresentation - M01,07/26/2017,09/14/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,03/10/2017,04/18/2017,Cash Amount - AMT,Yes,JAMAICA,NY
Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,12/22/2017,01/24/2018,Out of Business - OOB,,RIDGEWOOD,NY
Appliances - 244,Non-Delivery of Goods - N01,06/27/2018,08/08/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,HOFFMAN ESTATES,IL
Travel Agency - 440,Non-Delivery of Goods - N01,01/12/2018,01/29/2018,Unable to Locate Business - ULV,,NEW YORK,NY
Home Improvement Contractor - 100,Misrepresentation - M01,10/13/2017,11/27/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Home Improvement Contractor - 100,Quality of Work - Q01,11/30/2017,01/22/2018,Advised to Sue - ATS,No,BRONX,NY
Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,07/03/2018,08/07/2018,Advised to Sue - ATS,No,BROOKLYN,NY
Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Goods - N01,09/08/2017,10/18/2017,Advised to Sue - ATS,No,BRONX,NY
Debt Collection Agency - 122,Billing Dispute - B02,04/06/2018,04/18/2018,Complaint Invalid - CIN,,BINGHAMTON,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,05/18/2017,06/05/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Secondhand Dealer Auto - 005,Misrepresentation - M01,09/07/2018,09/19/2018,Out of Business - OOB,,JAMAICA,NY
Garage & Parking Lot - 098,Surcharge/Overcharge - S02,06/22/2018,08/03/2018,Advised to Sue - ATS,No,NEW YORK,NY
Tow Truck Company - 124,Refund Policy - R01,05/30/2017,07/18/2017,Cash Amount - AMT,Yes,BRONX,NY
Debt Collection Agency - 122,Billing Dispute - B02,06/26/2017,07/12/2017,Bill Reduced - BLR,Yes,TOLEDO,OH
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,05/18/2018,05/25/2018,Advised to Sue - ATS,No,JACKSON HEIGHTS,NY
Appliances - 244,Surcharge/Overcharge - S02,07/12/2017,07/27/2017,Referred to Outside - RTO,,FARMINGDALE,NY
Home Improvement Contractor - 100,Breach of Contract - B03,03/29/2017,04/03/2017,Resolved and Consumer Satisfied - SPF,Yes,STATEN ISLAND,NY
Employment Agency - 034,Non-Delivery of Service - N02,03/24/2017,03/29/2017,Cash Amount - AMT,Yes,BROOKLYN,NY
Misc Non-Food Retail - 817,Misrepresentation - M01,07/27/2018,08/21/2018,Advised to Sue - ATS,No,BROOKLYN,NY
Electronic Store - 001,Advertising/Misleading - A02,07/26/2017,08/09/2017,Resolved and Consumer Satisfied - SPF,Yes,PASADENA,CA
Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,02/15/2018,02/28/2018,Goods Received - GDR,Yes,BROOKLYN,NY
Dry Cleaners - 230,Damaged Goods - D01,06/22/2017,06/26/2017,Complaint Invalid - CIN,,NEW YORK,NY
Secondhand Dealer Auto - 005,Damaged Goods - D01,12/27/2016,02/03/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Home Improvement Contractor - 100,Outstanding Judgment - J01,01/12/2018,02/07/2018,Referred to Hearing - RTH,No,STATEN ISLAND,NY
Other,Misrepresentation - M01,04/06/2018,04/30/2018,Bill Reduced - BLR,Yes,STATEN ISLAND,NY
Garage & Parking Lot - 098,Damaged Goods - D01,03/15/2017,04/04/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,06/19/2017,08/03/2017,Consumer Withdrew Complaint - CWC,,STATEN ISLAND,NY
Dry Cleaners - 230,Surcharge/Overcharge - S02,07/03/2018,07/10/2018,Goods Received - GDR,Yes,EAST MEADOW,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,04/12/2018,05/07/2018,Advised to Sue - ATS,No,NEW YORK,NY
Pedicab Driver - 131,Surcharge/Overcharge - S02,10/13/2017,12/01/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Electronic Store - 001,Misrepresentation - M01,10/13/2017,10/25/2017,Goods Exchanged - GEX,Yes,BROOKLYN,NY
Garage - 049,Damaged Goods - D01,01/26/2017,01/31/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Home Improvement Contractor - 100,Quality of Work - Q01,03/23/2018,04/02/2018,Goods Repaired - GRS,Yes,NORTH BELLMORE,NY
Electronic Store - 001,Misrepresentation - M01,11/22/2017,12/18/2017,Cash Amount - AMT,Yes,BROOKLYN,NY
Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,07/06/2017,09/01/2017,Referred to Outside - RTO,,BROOKLYN,NY
Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,07/12/2017,07/24/2017,Referred to Outside - RTO,,FLUSHING,NY
Restaurant - 818,Surcharge/Overcharge - S02,10/16/2017,11/01/2017,Store Credit - SCR,Yes,NEW YORK,NY
Secondhand Dealer Auto - 005,Damaged Goods - D01,04/25/2018,05/02/2018,Referred to Outside - RTO,,LITTLE NECK,NY
Secondhand Dealer Auto - 005,Misrepresentation - M01,02/15/2017,03/02/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Laundry - 064,Damaged Goods - D01,02/20/2018,03/01/2018,No Satisfactory Preempted - NSP,,BROOKLYN,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,06/02/2017,07/19/2017,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY
Misc Non-Food Retail - 817,Quality of Work - Q01,05/01/2018,05/04/2018,Advised to Sue - ATS,No,BRONX,NY
Pawnbroker - 080,Non-Delivery of Goods - N01,12/14/2017,01/19/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,06/19/2018,06/20/2018,Complaint Invalid - CIN,,RIDGEWOOD,NY
Misc Non-Food Retail - 817,Non-Delivery of Service - N02,08/24/2017,09/01/2017,Referred to Outside - RTO,,S OZONE PARK,NY
Home Improvement Contractor - 100,Quality of Work - Q01,06/05/2018,08/08/2018,Advised to Sue - ATS,No,NEW YORK,NY
Electronic & Home Appliance Service Dealer - 115,Advertising/General - A01,08/16/2017,08/28/2017,Consumer Withdrew Complaint - CWC,,STATEN ISLAND,NY
Dry Cleaners - 230,Damaged Goods - D01,09/13/2017,09/28/2017,Resolved and Consumer Satisfied - SPF,Yes,WOODHAVEN,NY
Debt Collection Agency - 122,Harassment - H01,04/13/2018,04/25/2018,Resolved and Consumer Satisfied - SPF,Yes,LOWELL,AR
Laundry - 064,Damaged Goods - D01,10/31/2017,11/14/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Restaurant - 818,Surcharge/Overcharge - S02,01/23/2018,01/30/2018,Resolved and Consumer Satisfied - SPF,Yes,WOODSIDE,NY
Electronic Store - 001,Outstanding Judgment - J01,07/31/2017,09/05/2017,Referred to Outside - RTO,,BROOKLYN,NY
Secondhand Dealer Auto - 005,Breach of Contract - B03,12/15/2017,12/28/2017,Bill Reduced - BLR,Yes,NEW YORK,NY
Tow Truck Company - 124,Damaged Goods - D01,04/18/2018,04/25/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Home Improvement Contractor - 100,Quality of Work - Q01,07/20/2018,09/14/2018,No Consumer Response - NCR,,EAST MEADOW,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,04/24/2018,05/14/2018,Advised to Sue - ATS,No,BRONX,NY
Electronic Store - 001,Surcharge/Overcharge - S02,11/24/2017,12/20/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,09/12/2017,10/17/2017,Referred to Outside - RTO,,BRONX,NY
Secondhand Dealer Auto - 005,Damaged Goods - D01,04/18/2017,05/03/2017,Complaint Invalid - CIN,,CORONA,NY
Supermarket - 819,Advertising/Misleading - A02,02/20/2018,02/28/2018,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY
Furniture Sales - 242,Non-Delivery of Goods - N01,04/19/2017,05/02/2017,Out of Business - OOB,,BRONX,NY
Misc Non-Food Retail - 817,Damaged Goods - D01,08/03/2018,08/20/2018,Advised to Sue - ATS,No,BROOKLYN,NY
Wearing Apparel - 450,Non-Delivery of Goods - N01,06/25/2018,08/02/2018,Cash Amount - AMT,Yes,FOREST HILLS,NY
Debt Collection Agency - 122,Billing Dispute - B02,03/17/2017,03/29/2017,Resolved and Consumer Satisfied - SPF,Yes,LOUISVILLE,KY
Retail Store - 820,Defective Goods - D02,10/24/2017,11/01/2017,Consumer Took Action - CTA,No,NEW YORK,NY
Home Improvement Contractor - 100,Quality of Work - Q01,07/20/2018,09/25/2018,No Consumer Response - NCR,,JERSEY CITY,NJ
Garage - 049,Surcharge/Overcharge - S02,11/17/2017,11/24/2017,Goods Repaired - GRS,Yes,NEW YORK,NY
Tow Truck Company - 124,Misrepresentation - M01,06/28/2017,07/05/2017,Referred to Hearing - RTH,No,BROOKLYN,NY
Tickets-Live Perf - 260,Non-Delivery of Goods - N01,03/28/2017,04/17/2017,Advised to Sue - ATS,No,NEW YORK,NY
Dry Cleaners - 230,Lost Property - L02,01/11/2017,01/26/2017,Goods Received - GDR,Yes,REGO PARK,NY
Furniture Sales - 242,Misrepresentation - M01,11/06/2017,11/08/2017,Consumer Took Action - CTA,No,ASTORIA,NY
Misc Non-Food Retail - 817,Damaged Goods - D01,05/24/2017,07/07/2017,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,03/02/2017,03/13/2017,Consumer Took Action - CTA,No,STATEN ISLAND,NY
Home Improvement Contractor - 100,Quality of Work - Q01,03/23/2018,04/13/2018,Resolved and Consumer Satisfied - SPF,Yes,EAST MEADOW,NY
Home Improvement Contractor - 100,Quality of Work - Q01,02/03/2017,03/21/2017,Referred to Hearing - RTH,No,WEST HEMPSTEAD,NY
Secondhand Dealer Auto - 005,Surcharge/Overcharge - S02,01/12/2018,02/02/2018,Advised to Sue - ATS,No,MIDDLE VLG,NY
Home Improvement Contractor - 100,Advertising/General - A01,08/03/2017,08/25/2017,Store Credit - SCR,Yes,WESTBURY,NY
Electronic Store - 001,Misrepresentation - M01,02/03/2017,03/20/2017,No Consumer Response - NCR,,OVERLAND,KS
Home Improvement Contractor - 100,Breach of Contract - B03,02/24/2017,03/28/2017,Referred to Hearing - RTH,No,SOUTH RICHMOND HILL,NY
Parking Lot - 050,Surcharge/Overcharge - S02,07/31/2018,08/22/2018,Cash Amount - AMT,Yes,NEW YORK,NY
Grocery-Retail - 808,Exchange Goods/Contract Cancelled - E01,09/21/2017,10/12/2017,Cash Amount - AMT,Yes,FLUSHING,NY
Supermarket - 819,Damaged Goods - D01,04/25/2017,05/12/2017,Store Credit - SCR,Yes,QUINCY,MA
Electronic Store - 001,Non-Delivery of Goods - N01,08/18/2017,09/13/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,03/17/2017,04/17/2017,No Consumer Response - NCR,,BROOKLYN,NY
Garage - 049,Surcharge/Overcharge - S02,04/13/2017,05/10/2017,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY
Electronic Store - 001,Outstanding Judgment - J01,05/18/2018,06/01/2018,Referred to Outside - RTO,,NEW YORK,NY
Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,10/16/2017,11/14/2017,Store Credit - SCR,Yes,STATEN ISLAND,NY
Furniture Sales - 242,Wrong Goods - W01,09/05/2017,09/14/2017,No Satisfactory Preempted - NSP,,HOFFMAN ESTATES,IL
Electronic Store - 001,Defective Goods - D02,04/13/2017,05/09/2017,Goods Exchanged - GEX,Yes,NEW YORK,NY
Home Improvement Contractor - 100,Exchange Goods/Contract Cancelled - E01,03/06/2018,03/26/2018,Cash Amount - AMT,Yes,NEW YORK,NY
Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,11/30/2017,01/02/2018,No Satisfactory Agreement - NSA,No,BROOKLYN,NY
Home Improvement Contractor - 100,Breach of Contract - B03,06/08/2018,08/06/2018,Resolved and Consumer Satisfied - SPF,Yes,STATEN ISLAND,NY
Garage - 049,Damaged Goods - D01,08/27/2018,09/27/2018,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Home Improvement Contractor - 100,Quality of Work - Q01,12/21/2016,02/03/2017,Resolved and Consumer Satisfied - SPF,Yes,STATEN ISLAND,NY
Home Improvement Contractor - 100,Outstanding Judgment - J01,11/09/2017,12/06/2017,Referred to Hearing - RTH,No,BROOKLYN,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,07/31/2018,08/13/2018,Cash Amount - AMT,Yes,BROOKLYN,NY
