,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Business City,Business State,Count the number of first five most complainted states,
1883,Tow Truck Company - 124,Billing Dispute - B02,02/16/2018,02/26/2018,Cash Amount - AMT,Yes,COLLEGE POINT,NY,,
1884,Furniture Sales - 242,Damaged Goods - D01,06/06/2017,07/10/2017,Goods Exchanged - GEX,Yes,NEW YORK,NY,,
1885,Pawnbroker - 080,Breach of Contract - B03,10/11/2017,11/03/2017,Out of Business - OOB,,BRONX,NY,,
1886,Tow Truck Company - 124,Misrepresentation - M01,12/07/2017,01/08/2018,Cash Amount - AMT,Yes,COLLEGE POINT,NY,,
1887,Furniture Sales - 242,Damaged Goods - D01,11/03/2017,11/28/2017,Referred to Outside - RTO,,MANCHESTER,CT,,
1889,Home Improvement Contractor - 100,Quality of Work - Q01,06/23/2017,08/29/2017,Referred to Hearing - RTH,No,STATEN ISLAND,NY,,
1890,Tow Truck Company - 124,Misrepresentation - M01,08/01/2017,08/24/2017,Cash Amount - AMT,Yes,NEW HYDE PARK,NY,,
1891,Grocery-Retail - 808,Damaged Goods - D01,01/23/2018,01/25/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
1892,Auto Rental - 213,Surcharge/Overcharge - S02,02/03/2017,02/27/2017,Cash Amount - AMT,Yes,ESTERO,FL,,
1893,Home Improvement Contractor - 100,Exchange Goods/Contract Cancelled - E01,01/04/2018,02/05/2018,Unable to Locate Business - ULV,,YONKERS,NY,,
1894,Home Improvement Contractor - 100,Outstanding Judgment - J01,03/30/2017,05/22/2017,Referred to Hearing - RTH,No,WHITESTONE,NY,,
1895,Dry Cleaners - 230,Damaged Goods - D01,06/14/2017,07/12/2017,No Satisfactory Agreement - NSA,No,BROOKLYN,NY,,
1896,Furniture Sales - 242,Non-Delivery of Goods - N01,04/20/2018,04/26/2018,Goods Received - GDR,Yes,NEW YORK,NY,,
1897,Appliances - 244,Breach of Warranty - B04,08/18/2017,09/20/2017,Resolved and Consumer Satisfied - SPF,Yes,HOFFMAN ESTATES,IL,,
1898,Sightseeing Bus - 078,Exchange Goods/Contract Cancelled - E01,07/14/2017,08/02/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY,,
1899,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,09/07/2018,09/26/2018,Store Credit - SCR,Yes,LIVERPOOL,NY,,
1900,Secondhand Dealer Auto - 005,Damaged Goods - D01,06/06/2017,07/13/2017,Resolved and Consumer Satisfied - SPF,Yes,LONG ISLAND CITY,NY,,
1901,Home Improvement Contractor - 100,Non-Delivery of Service - N02,12/22/2017,01/24/2018,Advised to Sue - ATS,No,WOODHAVEN,NY,,
1902,Home Improvement Contractor - 100,Quality of Work - Q01,04/04/2017,05/30/2017,Referred to Hearing - RTH,No,BROOKLYN,NY,,
1903,Garage & Parking Lot - 098,Damaged Goods - D01,04/27/2017,05/08/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
1904,Secondhand Dealer Auto - 005,Defective Goods - D02,05/12/2017,05/22/2017,Advised to Sue - ATS,No,GLENDALE,NY,,
1905,Furniture Sales - 242,Defective Goods - D02,04/10/2017,04/25/2017,Advised to Sue - ATS,No,MANCHESTER,CT,,
1906,Debt Collection Agency - 122,Misrepresentation - M01,07/27/2018,08/06/2018,Resolved and Consumer Satisfied - SPF,Yes,VALHALLA,NY,,
1907,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,05/16/2017,05/25/2017,Goods Exchanged - GEX,Yes,JACKSON HTS,NY,,
1908,Pawnbroker - 080,Breach of Contract - B03,07/06/2018,08/10/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
1910,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,06/29/2017,08/18/2017,Goods Exchanged - GEX,Yes,BROOKLYN,NY,,
1911,Electronic & Home Appliance Service Dealer - 115,Misrepresentation - M01,07/17/2018,07/30/2018,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
1912,Supermarket - 819,Exchange Goods/Contract Cancelled - E01,09/12/2017,09/13/2017,Consumer Took Action - CTA,No,NEW YORK,NY,,
1913,Travel Agency - 440,Misrepresentation - M01,02/24/2017,03/13/2017,Advised to Sue - ATS,No,MONTVALE,NJ,,
1914,Employment Agency - 034,Non-Delivery of Service - N02,03/08/2017,03/27/2017,Cash Amount - AMT,Yes,NEW YORK,NY,,
1915,Furniture Sales - 242,Misrepresentation - M01,02/16/2018,03/14/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY,,
1916,Secondhand Dealer Auto - 005,Misrepresentation - M01,06/25/2018,07/31/2018,No Satisfactory Preempted - NSP,,BROOKLYN,NY,,
1917,Misc Non-Food Retail - 817,Misrepresentation - M01,08/08/2017,08/28/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY,,
1918,Home Improvement Contractor - 100,Non-Delivery of Service - N02,09/12/2017,10/30/2017,Advised to Sue - ATS,No,HEWLETT,NY,,
1919,Employment Agency - 034,Non-Delivery of Service - N02,06/12/2018,06/22/2018,Referred to Outside - RTO,,CORONA,NY,,
1920,Furniture Sales - 242,Wrong Goods - W01,10/19/2017,11/29/2017,Advised to Sue - ATS,No,FLUSHING,NY,,
1921,Furniture Sales - 242,Damaged Goods - D01,02/02/2018,03/14/2018,Advised to Sue - ATS,No,MANCHESTER,CT,,
1922,Garage - 049,Misrepresentation - M01,11/28/2017,12/07/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
1923,Tow Truck Company - 124,Misrepresentation - M01,12/26/2017,01/03/2018,Cash Amount - AMT,Yes,HOWARD BEACH,NY,,
1924,Secondhand Dealer Auto - 005,Surcharge/Overcharge - S02,02/17/2017,02/24/2017,Referred to Outside - RTO,,LONG ISLAND CITY,NY,,
1925,Garage - 049,Surcharge/Overcharge - S02,07/31/2018,08/01/2018,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
1926,Electronic Store - 001,Breach of Contract - B03,09/28/2017,11/06/2017,Bill Reduced - BLR,Yes,WILMINGTON,DE,,
1927,Debt Collection Agency - 122,Billing Dispute - B02,05/30/2017,06/13/2017,Bill Reduced - BLR,Yes,NORFOLK,VA,,
1928,Tow Truck Company - 124,Misrepresentation - M01,03/20/2017,04/24/2017,Resolved and Consumer Satisfied - SPF,Yes,OZONE PARK,NY,,
1929,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,07/03/2018,07/26/2018,Cash Amount - AMT,Yes,BROOKLYN,NY,,
1930,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,04/06/2018,04/27/2018,Cash Amount - AMT,Yes,LISLE,IL,,
1931,Furniture Sales - 242,Damaged Goods - D01,10/18/2017,11/21/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
1932,Garage - 049,Damaged Goods - D01,07/26/2017,07/31/2017,Referred to Outside - RTO,,OKLAHOMA CITY,OK,,
1934,Debt Collection Agency - 122,Billing Dispute - B02,04/14/2017,05/30/2017,Bill Reduced - BLR,Yes,DALLAS,TX,,
1935,Home Improvement Contractor - 100,Quality of Work - Q01,04/11/2017,04/26/2017,Referred to Hearing - RTH,No,ELMONT,NY,,
1937,Furniture Sales - 242,Defective Goods - D02,03/16/2018,03/22/2018,Goods Exchanged - GEX,Yes,JAMAICA,NY,,
1938,Appliances - 244,Exchange Goods/Contract Cancelled - E01,08/24/2017,09/27/2017,Goods Repaired - GRS,Yes,ATLANTA,GA,,
1939,Electronic & Home Appliance Service Dealer - 115,Refund Policy - R01,02/15/2018,02/26/2018,Cash Amount - AMT,Yes,BROOKLYN,NY,,
1940,Internet Complaints - 443,Advertising/Misleading - A02,02/16/2017,03/16/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
1941,Secondhand Dealer Auto - 005,Non-Delivery of Service - N02,06/01/2018,07/19/2018,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY,,
1942,Electronic Store - 001,Defective Goods - D02,08/23/2017,10/11/2017,Cash Amount - AMT,Yes,NEW YORK,NY,,
1943,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,01/23/2018,02/09/2018,No Consumer Response - NCR,,BROOKLYN,NY,,
1945,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,08/03/2017,08/16/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,HICKSVILLE,NY,,
1946,Tow Truck Company - 124,Surcharge/Overcharge - S02,07/28/2017,08/31/2017,Cash Amount - AMT,Yes,BRONX,NY,,
1947,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,05/25/2017,06/27/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,JAMAICA,NY,,
1948,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,08/30/2017,09/14/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
1949,Pawnbroker - 080,Misrepresentation - M01,07/31/2018,08/08/2018,Unable to Locate Business - ULV,,NEW YORK,NY,,
1950,Electronic Store - 001,Surcharge/Overcharge - S02,10/12/2017,11/20/2017,Consumer Took Action - CTA,No,NEW YORK,NY,,
1951,Tow Truck Company - 124,Misrepresentation - M01,09/13/2017,10/11/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
1952,Electronic Store - 001,Breach of Contract - B03,04/11/2017,05/08/2017,Resolved and Consumer Satisfied - SPF,Yes,LITTLE ROCK,AR,,
1953,Dry Cleaners - 230,Non-Delivery of Service - N02,09/21/2017,10/02/2017,No Satisfactory Agreement - NSA,No,BRONX,NY,,
1954,Appliances - 244,Misrepresentation - M01,05/05/2017,05/15/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,MONTCLAIR,NJ,,
1955,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,12/07/2017,12/14/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
1956,Tow Truck Company - 124,Surcharge/Overcharge - S02,08/07/2018,09/05/2018,Cash Amount - AMT,Yes,RIDGEWOOD,NY,,
1957,Furniture Sales - 242,Damaged Goods - D01,04/26/2018,06/01/2018,Advised to Sue - ATS,No,MANCHESTER,CT,,
1958,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,06/07/2017,07/06/2017,Goods Repaired - GRS,Yes,JAMAICA,NY,,
1959,Home Improvement Contractor - 100,Misrepresentation - M01,04/03/2017,04/20/2017,Referred to Outside - RTO,,BROOKLYN,NY,,
1960,Garage - 049,Billing Dispute - B02,09/06/2017,09/20/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY,,
1961,Appliances - 244,Non-Delivery of Goods - N01,05/04/2018,05/25/2018,Referred to Outside - RTO,,LISLE,IL,,
1962,Electronic Store - 001,Surcharge/Overcharge - S02,05/12/2017,06/12/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,MONSEY,NY,,
1963,Debt Collection Agency - 122,Surcharge/Overcharge - S02,04/20/2017,05/05/2017,Resolved and Consumer Satisfied - SPF,Yes,SKOKIE,IL,,
1964,Debt Collection Agency - 122,Billing Dispute - B02,08/24/2018,09/14/2018,Resolved and Consumer Satisfied - SPF,Yes,OXFORD,MS,,
1965,Furniture Sales - 242,Advertising/Misleading - A02,05/04/2018,06/19/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
1966,Misc Non-Food Retail - 817,Breach of Contract - B03,07/05/2017,08/01/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
1967,Misc Non-Food Retail - 817,Damaged Goods - D01,02/16/2017,03/07/2017,Advised to Sue - ATS,No,JAMAICA,NY,,
1968,Secondhand Dealer Auto - 005,Damaged Goods - D01,01/12/2018,02/05/2018,Consumer Took Action - CTA,No,BRONX,NY,,
1969,Debt Collection Agency - 122,Billing Dispute - B02,03/20/2018,03/28/2018,Bill Reduced - BLR,Yes,MELVILLE,NY,,
1970,Tow Truck Company - 124,Damaged Goods - D01,07/17/2018,08/01/2018,Referred to Outside - RTO,,MASPETH,NY,,
1971,Retail Store - 820,Misrepresentation - M01,03/21/2017,04/10/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
1972,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,10/05/2017,10/27/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
1973,Misc Non-Food Retail - 817,Misrepresentation - M01,09/29/2017,10/20/2017,No Business Response - NVR,No,NEW YORK,NY,,
1974,Secondhand Dealer Auto - 005,Misrepresentation - M01,09/13/2017,10/03/2017,Resolved and Consumer Satisfied - SPF,Yes,ELMHURST,NY,,
1975,Furniture Sales - 242,Non-Delivery of Goods - N01,02/02/2018,02/27/2018,Cash Amount - AMT,Yes,DALLAS,TX,,
1976,Debt Collection Agency - 122,Billing Dispute - B02,11/16/2017,12/07/2017,Resolved and Consumer Satisfied - SPF,Yes,LYNNWOOD,WA,,
1977,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,08/23/2017,09/13/2017,No Satisfactory Agreement - NSA,No,JACKSON HTS,NY,,
1978,Jewelry Store-Retail - 823,Exchange Goods/Contract Cancelled - E01,09/05/2017,10/19/2017,Advised to Sue - ATS,No,NEW YORK,NY,,
1979,Home Improvement Contractor - 100,Non-Delivery of Service - N02,12/27/2016,02/16/2017,Referred to Hearing - RTH,No,CENTRAL ISLIP,NY,,
1980,Jewelry Store-Retail - 823,Exchange Goods/Contract Cancelled - E01,08/24/2017,09/06/2017,Advised to Sue - ATS,No,NEW YORK,NY,,
1981,Appliances - 244,Exchange Goods/Contract Cancelled - E01,03/29/2017,04/14/2017,Cash Amount - AMT,Yes,HOFFMAN ESTATES,IL,,
1983,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,11/22/2017,12/12/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,MANCHESTER,CT,,
1984,Home Improvement Contractor - 100,Non-Delivery of Service - N02,08/23/2017,08/29/2017,Goods Repaired - GRS,Yes,SOUTH OZONE PARK,NY,,
1985,Dealer In Products For The Disabled - 119,Exchange Goods/Contract Cancelled - E01,12/26/2017,01/12/2018,No Business Response - NVR,No,BROOKLYN,NY,,
1986,Home Improvement Contractor - 100,Non-Delivery of Service - N02,03/30/2017,04/19/2017,Referred to Hearing - RTH,No,BROOKLYN,NY,,
1988,Tow Truck Company - 124,Surcharge/Overcharge - S02,06/20/2017,07/12/2017,Cash Amount - AMT,Yes,QUEENS VILLAGE,NY,,
1989,Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Service - N02,06/05/2017,07/05/2017,No Satisfactory Agreement - NSA,No,BROOKLYN,NY,,
1990,Home Improvement Contractor - 100,Breach of Contract - B03,01/13/2017,03/09/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
1991,Tax Preparers - 891,Misrepresentation - M01,05/24/2017,06/16/2017,Referred to Outside - RTO,,BRONX,NY,,
1992,Misc Non-Food Retail - 817,Damaged Goods - D01,06/06/2017,06/28/2017,No Satisfactory Agreement - NSA,No,CORONA,NY,,
1993,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,01/12/2017,02/08/2017,Store Credit - SCR,Yes,CINCINNATI,OH,,
1995,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,01/10/2017,02/24/2017,Advised to Sue - ATS,No,FOREST HILLS,NY,,
1996,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,05/31/2017,06/19/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
1997,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,06/07/2017,06/26/2017,Advised to Sue - ATS,No,LAURELTON,NY,,
1998,Health Spa - 839,Misrepresentation - M01,01/20/2017,02/02/2017,No Satisfactory Agreement - NSA,No,NEW YORK,NY,,
1999,Supermarket - 819,Exchange Goods/Contract Cancelled - E01,08/15/2017,09/05/2017,No Consumer Response - NCR,,NEW YORK,NY,,
2000,Tow Truck Company - 124,Surcharge/Overcharge - S02,03/16/2018,04/16/2018,Cash Amount - AMT,Yes,BROOKLYN,NY,,
2002,Tow Truck Company - 124,Billing Dispute - B02,05/02/2017,05/04/2017,Referred to Outside - RTO,,BROOKLYN,NY,,
2003,Debt Collection Agency - 122,Billing Dispute - B02,05/12/2017,06/06/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
2004,Furniture Sales - 242,Non-Delivery of Goods - N01,07/10/2017,08/29/2017,Resolved and Consumer Satisfied - SPF,Yes,MASON,OH,,
2005,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,10/11/2017,11/16/2017,Unable to Locate Business - ULV,,NEW YORK,NY,,
2006,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,12/21/2016,02/07/2017,Consumer Took Action - CTA,No,BROOKLYN,NY,,
2007,Garage - 049,Closed without Notice,07/05/2017,07/20/2017,Referred to Outside - RTO,,BRONX,NY,,
2008,Mailorder Misc - 319,Non-Delivery of Goods - N01,08/28/2018,09/14/2018,No Business Response - NVR,No,RANCHO DOMINGUEZ,CA,,
2009,Tow Truck Company - 124,Billing Dispute - B02,06/20/2017,07/12/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
2010,Debt Collection Agency - 122,Billing Dispute - B02,02/02/2018,03/23/2018,No Business Response - NVR,No,FREDERICKSBURG,VA,,
2011,Home Improvement Contractor - 100,Quality of Work - Q01,11/09/2017,01/08/2018,No Consumer Response - NCR,,EATONTOWN,NJ,,
2012,Retail Store - 820,Misrepresentation - M01,08/23/2017,09/08/2017,Cash Amount - AMT,Yes,MINNEAPOLIS,MN,,
2013,Health Spa - 839,Misrepresentation - M01,07/27/2018,08/07/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
2015,Misc Non-Food Retail - 817,Defective Goods - D02,07/13/2018,07/23/2018,Goods Exchanged - GEX,Yes,ATLANTA,GA,,
2016,Misc Non-Food Retail - 817,Damaged Goods - D01,05/24/2017,06/29/2017,No Consumer Response - NCR,,HOFFMAN ESTATES,IL,,
2017,Misc Non-Food Retail - 817,Damaged Goods - D01,07/13/2017,08/11/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
2018,Furniture Sales - 242,Damaged Goods - D01,02/02/2018,02/22/2018,Store Credit - SCR,Yes,HICKSVILLE,NY,,
2019,Tow Truck Company - 124,Refund Policy - R01,08/14/2018,08/20/2018,Cash Amount - AMT,Yes,HOWARD BEACH,NY,,
2020,Tow Truck Company - 124,Refund Policy - R01,01/04/2018,01/12/2018,Referred to Outside - RTO,,BROOKLYN,NY,,
2021,Tow Truck Company - 124,Misrepresentation - M01,03/30/2017,04/25/2017,Referred to Hearing - RTH,No,BRONX,NY,,
2022,Hotel/Motel - 460,Surcharge/Overcharge - S02,01/03/2017,01/25/2017,Referred to Outside - RTO,,ALBUQUERQUE,NM,,
2023,Secondhand Dealer Auto - 005,Breach of Contract - B03,01/26/2018,03/14/2018,Consumer Took Action - CTA,No,BROOKLYN,NY,,
2024,Home Improvement Contractor - 100,Breach of Contract - B03,11/24/2017,12/13/2017,No Business Response - NVR,No,BROOKLYN,NY,,
2025,Tow Truck Company - 124,Misrepresentation - M01,08/07/2018,08/27/2018,Advised to Sue - ATS,No,MASPETH,NY,,
2026,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,04/21/2017,05/09/2017,No Satisfactory Agreement - NSA,No,BRONX,NY,,
2027,Garage - 049,Non-Delivery of Goods - N01,01/30/2018,02/14/2018,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
2028,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,04/13/2017,04/24/2017,No Satisfactory Agreement - NSA,No,STATEN ISLAND,NY,,
2029,Misc Non-Food Retail - 817,Misrepresentation - M01,12/16/2016,01/03/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
2030,Tow Truck Company - 124,Misrepresentation - M01,04/24/2018,05/11/2018,Advised to Sue - ATS,No,MASPETH,NY,,
2031,Auto Rental - 213,Non-Delivery of Goods - N01,10/04/2017,10/18/2017,Referred to Outside - RTO,,LONG IS CITY,NY,,
2032,Fuel Oil Dealer - 814,Surcharge/Overcharge - S02,03/16/2018,04/09/2018,Advised to Sue - ATS,No,STATEN ISLAND,NY,,
2033,Electronic Store - 001,Misrepresentation - M01,02/06/2018,02/16/2018,Resolved and Consumer Satisfied - SPF,Yes,WILMINGTON,DE,,
2034,Misc Non-Food Retail - 817,Misrepresentation - M01,11/06/2017,11/22/2017,No Satisfactory Preempted - NSP,,BROOKLYN,NY,,
2035,Debt Collection Agency - 122,Misrepresentation - M01,10/19/2017,11/08/2017,Resolved and Consumer Satisfied - SPF,Yes,HARRISBURG,PA,,
2036,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,06/26/2018,08/15/2018,Cash Amount - AMT,Yes,BROOKLYN,NY,,
2037,Restaurant - 818,Surcharge/Overcharge - S02,06/08/2017,06/15/2017,Resolved and Consumer Satisfied - SPF,Yes,JACKSON HEIGHTS,NY,,
2038,Garage - 049,Damage / Estimate,04/06/2018,04/13/2018,Referred to Outside - RTO,,NEW YORK,NY,,
2039,Secondhand Dealer Auto - 005,Defective Goods - D02,10/02/2017,10/10/2017,Cash Amount - AMT,Yes,BRONX,NY,,
2040,Home Improvement Contractor - 100,Quality of Work - Q01,12/29/2017,01/03/2018,Resolved and Consumer Satisfied - SPF,Yes,HAUPPAUGE,NY,,
2041,Debt Collection Agency - 122,Misrepresentation - M01,02/03/2017,03/06/2017,Bill Reduced - BLR,Yes,RIALTO,CA,,
2042,Misc Non-Food Retail - 817,Advertising/General - A01,09/05/2018,09/25/2018,Complaint Invalid - CIN,,BRONX,NY,,
2043,Home Improvement Contractor - 100,Quality of Work - Q01,06/19/2018,08/02/2018,No Satisfactory Agreement - NSA,No,MOUNT SINAI,NY,,
2044,Secondhand Dealer Auto - 005,Misrepresentation - M01,11/16/2017,12/05/2017,Out of Business - OOB,,BROOKLYN,NY,,
2045,Laundry - 064,Misrepresentation - M01,01/27/2017,03/06/2017,Resolved and Consumer Satisfied - SPF,Yes,BAYSIDE,NY,,
2046,Wearing Apparel - 450,Misrepresentation - M01,09/27/2017,11/06/2017,Referred to Outside - RTO,,NEW YORK,NY,,
2047,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,11/22/2017,12/22/2017,Cash Amount - AMT,Yes,FLUSHING,NY,,
2048,Furniture Sales - 242,Misrepresentation - M01,05/03/2017,06/23/2017,Out of Business - OOB,,JAMAICA,NY,,
2049,Employment Agency - 034,Billing Dispute - B02,06/08/2017,07/24/2017,Referred to Hearing - RTH,No,NEW YORK,NY,,
2050,Furniture Sales - 242,Damaged Goods - D01,03/15/2018,04/11/2018,Goods Exchanged - GEX,Yes,BRONX,NY,,
2051,Tow Truck Company - 124,Misrepresentation - M01,07/14/2017,08/17/2017,Cash Amount - AMT,Yes,BAYSIDE,NY,,
2052,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,06/07/2018,06/26/2018,Advised to Sue - ATS,No,GARDEN CITY,NY,,
2053,Debt Collection Agency - 122,Billing Dispute - B02,03/28/2017,03/31/2017,Resolved and Consumer Satisfied - SPF,Yes,JACKSONVILLE,FL,,
2054,Travel Agency - 440,Exchange Goods/Contract Cancelled - E01,11/03/2016,01/03/2017,Advised to Sue - ATS,No,NEW YORK,NY,,
2055,Electronic Store - 001,Advertising/Misleading - A02,04/19/2017,05/15/2017,No Consumer Response - NCR,,NEW YORK,NY,,
2056,Home Improvement Contractor - 100,Non-Delivery of Service - N02,08/23/2017,09/18/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
2057,Home Improvement Contractor - 100,Breach of Contract - B03,12/01/2016,01/27/2017,Referred to Hearing - RTH,No,BROOKLYN,NY,,
2058,Electronic Store - 001,Advertising/Misleading - A02,12/16/2016,01/20/2017,No Satisfactory Agreement - NSA,No,CORONA,NY,,
2059,Employment Agency - 034,Advertising/Misleading - A02,03/10/2017,03/30/2017,Out of Business - OOB,,NEW YORK,NY,,
2060,Tow Truck Company - 124,Surcharge/Overcharge - S02,06/08/2018,07/17/2018,Cash Amount - AMT,Yes,QUEENS VILLAGE,NY,,
2061,Home Improvement Contractor - 100,Non-Delivery of Service - N02,05/18/2017,06/01/2017,Cash Amount - AMT,Yes,EAST ELMHURST,NY,,
2062,Secondhand Dealer Auto - 005,Advertising/General - A01,02/16/2018,04/06/2018,No Consumer Response - NCR,,STATEN ISLAND,NY,,
2063,Tow Truck Company - 124,Damaged Goods - D01,07/06/2018,08/01/2018,Advised to Sue - ATS,No,MASPETH,NY,,
2064,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,08/21/2018,08/24/2018,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
2065,Other,Misrepresentation - M01,06/01/2017,06/20/2017,Cash Amount - AMT,Yes,CHICAGO,IL,,
2066,Laundries,Misrepresentation - M01,07/24/2018,08/08/2018,No Satisfactory Agreement - NSA,No,BROOKLYN,NY,,
2067,Misc Non-Food Retail - 817,Defective Goods - D02,10/13/2017,10/19/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
2068,Debt Collection Agency - 122,Misrepresentation - M01,08/07/2018,08/08/2018,Resolved and Consumer Satisfied - SPF,Yes,HAUPPAUGE,NY,,
2069,Home Improvement Contractor - 100,Damaged Goods - D01,09/13/2017,11/08/2017,Advised to Sue - ATS,No,STATEN ISLAND,NY,,
2070,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,05/25/2017,06/12/2017,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY,,
2071,Home Improvement Contractor - 100,Quality of Work - Q01,10/27/2017,12/15/2017,Advised to Sue - ATS,No,FLUSHING,NY,,
2072,Secondhand Dealer Auto - 005,Outstanding Judgment - J01,03/09/2018,03/13/2018,Agency Collected Judgement - ACJ,Yes,JAMAICA,NY,,
2073,Tow Truck Company - 124,Misrepresentation - M01,03/06/2018,03/23/2018,Cash Amount - AMT,Yes,BRONX,NY,,
2074,Tow Truck Company - 124,Misrepresentation - M01,02/16/2018,02/26/2018,Cash Amount - AMT,Yes,BAYSIDE,NY,,
2075,Tow Truck Company - 124,Billing Dispute - B02,10/18/2017,11/27/2017,Cash Amount - AMT,Yes,QUEENS VILLAGE,NY,,
2076,Home Improvement Contractor - 100,Non-Delivery of Service - N02,07/26/2017,08/14/2017,Cash Amount - AMT,Yes,OZONE PARK,NY,,
2077,Retail Store - 820,Exchange Goods/Contract Cancelled - E01,03/23/2018,04/20/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,MENOMONEE FALLS,WI,,
2078,Electronic Store - 001,Misrepresentation - M01,02/24/2017,03/06/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,JAMAICA,NY,,
2079,Home Improvement Contractor - 100,Quality of Work - Q01,03/23/2018,04/19/2018,Referred to Outside - RTO,,FAR ROCKAWAY,NY,,
2080,Electronic Store - 001,Surcharge/Overcharge - S02,07/17/2018,08/01/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
2081,Auto Rental - 213,Exchange Goods/Contract Cancelled - E01,06/15/2018,07/10/2018,No Business Response - NVR,No,BROOKLYN,NY,,
2082,Supermarket - 819,Misrepresentation - M01,06/12/2018,06/25/2018,No Consumer Response - NCR,,FRESH MEADOWS,NY,,
2083,Hotel/Motel - 460,Breach of Contract - B03,06/29/2018,07/31/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,IRVING,TX,,
