Business Name,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Restitution,Business Building,Business Street,Building Address Unit,Business City,Business State,Business Zip,Complainant Zip ,Longitude,Latitude
GRACE CATCHERS TOWING INC.,Tow Truck Company - 124,Damaged Goods - D01,07/06/2018,08/01/2018,Advised to Sue - ATS,No,0.00,5609,56TH TER,,MASPETH,NY,11378,11768,,
VARIAZIONI,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,08/21/2018,08/24/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,195,SPRING ST,,NEW YORK,NY,10012,10023,-74.00315322869498,40.725152063278
UNITED AIRLINES,Other,Misrepresentation - M01,06/01/2017,06/20/2017,Cash Amount - AMT,Yes,159.00,233,S WACKER DR,,CHICAGO,IL,60606,10018,-73.99447255160538,40.72851155584013
86 LAUNDROMAT INC,Laundries,Misrepresentation - M01,07/24/2018,08/08/2018,No Satisfactory Agreement - NSA,No,0.00,1695,86TH ST,,BROOKLYN,NY,11214,11214,,
UNIQUE 99 CENTS MORE OR LESS,Misc Non-Food Retail - 817,Defective Goods - D02,10/13/2017,10/19/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,3427,BROADWAY,,NEW YORK,NY,10031,10031,-73.95302228718731,40.82292656023585
"THE LEVINBOOK LAW FIRM, P.C.",Debt Collection Agency - 122,Misrepresentation - M01,08/07/2018,08/08/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,77,ARKAY DR,C1,HAUPPAUGE,NY,11788,10304,,
"JC MASONRY, INC.",Home Improvement Contractor - 100,Damaged Goods - D01,09/13/2017,11/08/2017,Advised to Sue - ATS,No,0.00,25,SOUTH AVE,,STATEN ISLAND,NY,10303,10312,-74.16605549898576,40.639156520905345
DOLLAR JUNCTION,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,05/25/2017,06/12/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,2087,JEROME AVE,,BRONX,NY,10453,10469,-73.90662515480722,40.85462169327088
"VULCAN BASEMENT WATERPROOFING CO. OF FLUSHING, INC.",Home Improvement Contractor - 100,Quality of Work - Q01,10/27/2017,12/15/2017,Advised to Sue - ATS,No,0.00,7628,PARSONS BLVD,,FLUSHING,NY,11366,11357,,
"NEMET MOTORS, LLC",Secondhand Dealer Auto - 005,Outstanding Judgment - J01,03/09/2018,03/13/2018,Agency Collected Judgement - ACJ,Yes,1524.00,15312,HILLSIDE AVE,,JAMAICA,NY,11432,11225,,
BEAR TRANSPORTATION LLC,Tow Truck Company - 124,Misrepresentation - M01,03/06/2018,03/23/2018,Cash Amount - AMT,Yes,136.00,953,COLGATE AVE,,BRONX,NY,10473,10462,-73.88055886141574,40.82224298493549
DONE DEAL COLLISION & RECOVERY INC,Tow Truck Company - 124,Misrepresentation - M01,02/16/2018,02/26/2018,Cash Amount - AMT,Yes,136.00,2920,202ND ST,,BAYSIDE,NY,11360,11414,-73.84943807523976,40.78449945618319
QUEENS FINEST COLLISION INC,Tow Truck Company - 124,Billing Dispute - B02,10/18/2017,11/27/2017,Cash Amount - AMT,Yes,894.00,20612,JAMAICA AVE,,QUEENS VILLAGE,NY,11428,11377,-73.75378263831746,40.71392898312457
PAUL & SONS CONTRACTORS INC,Home Improvement Contractor - 100,Non-Delivery of Service - N02,07/26/2017,08/14/2017,Cash Amount - AMT,Yes,1000.00,10340,103RD ST,,OZONE PARK,NY,11417,11236,-73.83845407302492,40.682977931704094
"KOHL'S DEPARTMENT STORES, INC.",Retail Store - 820,Exchange Goods/Contract Cancelled - E01,03/23/2018,04/20/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,256.00,N56W17000,RIDGEWOOD DR,,MENOMONEE FALLS,WI,53051,10301,-74.16430314902865,40.62695843381946
"TIKVATRONICS, LTD.",Electronic Store - 001,Misrepresentation - M01,02/24/2017,03/06/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,2521.00,16404,JAMAICA AVE,,JAMAICA,NY,11432,11423,,
"KASSIM, MOHAMED",Home Improvement Contractor - 100,Quality of Work - Q01,03/23/2018,04/19/2018,Referred to Outside - RTO,NA,0.00,430,BEACH 47TH ST,,FAR ROCKAWAY,NY,11691,11516,,
786 WIRELESS WORLD INC.,Electronic Store - 001,Surcharge/Overcharge - S02,07/17/2018,08/01/2018,Advised to Sue - ATS,No,0.00,1061,CONEY ISLAND AVE,,BROOKLYN,NY,11230,11229,-73.96652329281405,40.63140223968977
BIG APPLE LIVERY LEASING,Auto Rental - 213,Exchange Goods/Contract Cancelled - E01,06/15/2018,07/10/2018,No Business Response - NVR,No,0.00,5268,KINGS HWY,,BROOKLYN,NY,11234,11385,-73.93600813364928,40.73650584741536
ISLAND OF GOLD SUPERMARKET INC.,Supermarket - 819,Misrepresentation - M01,06/12/2018,06/25/2018,No Consumer Response - NCR,NA,0.00,19525,69TH AVE,,FRESH MEADOWS,NY,11365,11432,,
LA QUINTA INNS & SUITES,Hotel/Motel - 460,Breach of Contract - B03,06/29/2018,07/31/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,140.00,909,HIDDEN RDG,600,IRVING,TX,75038,60613,-73.9779826945674,40.77618583477085
SILAS HEATING AND AIR CONDITIONING LLC,Home Improvement Contractor - 100,Defective Goods - D02,08/08/2017,08/15/2017,Referred to Outside - RTO,NA,0.00,11243,203RD ST,,SAINT ALBANS,NY,11412,11420,,
APEX AUTO DEALERS INC.,Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,08/04/2017,09/06/2017,Goods Received - GDR,Yes,0.00,4077,BOSTON RD,,BRONX,NY,10466,10471,-73.82881909004423,40.88561620522362
"PREMIUM FITNESS SUPPLEMENTS, INC",Mailorder Misc - 319,Advertising/General - A01,01/30/2018,02/05/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,90.00,276,5TH AVE,704,NEW YORK,NY,10001,10304,-73.98659645773515,40.7456573786306
PITKIN FURNITURE INC,Furniture Sales - 242,Surcharge/Overcharge - S02,06/26/2018,07/03/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,250.00,1608,PITKIN AVE,,BROOKLYN,NY,11212,11212,-73.9135535153561,40.66926361514837
GRISTEDES 034,Grocery-Retail - 808,Misrepresentation - M01,01/09/2018,01/19/2018,Cash Amount - AMT,Yes,67.00,907,8TH AVE,,NEW YORK,NY,10019,10019,-73.98439417347856,40.764653486066564
RAYMOUR & FLANIGAN FURNITURE,Furniture Sales - 242,Advertising/Misleading - A02,04/26/2018,05/23/2018,Cash Amount - AMT,Yes,1529.00,7248,MORGAN RD,,LIVERPOOL,NY,13090,11221,-73.87705635618526,40.652876989285126
BH EXTREME INC,Electronic Store - 001,Non-Delivery of Service - N02,08/21/2018,09/06/2018,Complaint Invalid - CIN,NA,0.00,1416B,SAINT NICHOLAS AVE,,NEW YORK,NY,10033,10460,,
"BEST BUILDINGS GROUP, LLC",Home Improvement Contractor - 100,Quality of Work - Q01,06/08/2018,07/06/2018,Advised to Sue - ATS,No,0.00,3117,85TH ST,101,EAST ELMHURST,NY,11370,10029,,
TICKET FULFILLMENT SERVICES LP,Tickets-Live Perf - 260,Surcharge/Overcharge - S02,02/03/2017,03/20/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,23000,SUSSEX HWY,232,SEAFORD,DE,19973,10023,,
SP PLUS CORPORATION,Garage - 049,Damaged Goods - D01,04/26/2017,05/02/2017,Complaint Invalid - CIN,NA,0.00,360,W 31ST ST,,NEW YORK,NY,10001,10032,-73.93725470047706,40.83820437049434
CREDIT MEDIATORS INC.,Debt Collection Agency - 122,Billing Dispute - B02,07/03/2018,07/17/2018,Referred to Outside - RTO,NA,0.00,PO BOX,P O BOX 456,,UPPER DARBY,PA,19082,11103,,
THOMAS K. MCKNIGHT LLP,Debt Settlement - 248,,11/30/2017,12/14/2017,Advised to Sue - ATS,No,0.00,2002,E MCFADDEN AVE,150,SANTA ANA,CA,92705,,,
PLUG FOR INMATES INC,Mailorder Misc - 319,Misrepresentation - M01,05/08/2018,05/25/2018,No Business Response - NVR,No,0.00,244,5TH AVE,STE E156,NEW YORK,NY,10001,14011,,
P. C. RICHARD & SON LONG ISLAND CORPORATION,Appliances - 244,Non-Delivery of Goods - N01,08/31/2017,09/13/2017,Goods Repaired - GRS,Yes,0.00,150,PRICE PKWY,,FARMINGDALE,NY,11735,10466,-73.83141676165467,40.86810612291892
"BEST BUY STORES, L.P.",Electronic Store - 001,Defective Goods - D02,03/09/2018,03/19/2018,Goods Exchanged - GEX,Yes,780.00,7601,PENN AVE S,,RICHFIELD,MN,55423,10457,-73.89126509505849,40.861629187374135
"SAUL, DANIEL A",Home Improvement Contractor - 100,Outstanding Judgment - J01,04/11/2017,04/20/2017,Referred to Outside - RTO,NA,0.00,9115,86TH RD,,WOODHAVEN,NY,11421,11370,,
B & H FOTO & ELECTRONICS CORP.,Electronic Store - 001,Defective Goods - D02,11/17/2017,11/28/2017,Store Credit - SCR,Yes,520.00,420,9TH AVE,,NEW YORK,NY,10001,11372,-73.99648090481577,40.75312930861314
CASINO TOWING SERVICE INC,Tow Truck Company - 124,Misrepresentation - M01,10/19/2017,11/21/2017,Cash Amount - AMT,Yes,136.00,7105A,AMSTEL BLVD,,ARVERNE,NY,11692,11224,,
K & Y PLUMBING AND HEATING INC.,Misc Non-Food Retail - 817,Non-Delivery of Service - N02,05/18/2017,06/05/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,11602,ROCKAWAY BLVD,,S OZONE PARK,NY,11420,11419,-73.82179924220678,40.67654977496963
METRO USA CONSTRUCTION INC.,Home Improvement Contractor - 100,Breach of Contract - B03,04/20/2017,05/17/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,10210,REMINGTON ST,,JAMAICA,NY,11435,11436,-73.79201621248504,40.68018877816388
"UNIQLO USA, INC",Retail Store - 820,Misrepresentation - M01,01/05/2017,02/06/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,60.00,450,W 14TH ST,7,NEW YORK,NY,10014,11105,,
"BEST BUY STORES, L.P.",Electronic Store - 001,Defective Goods - D02,04/24/2017,05/11/2017,No Satisfactory Preempted - NSP,NA,0.00,PO Box,,,LISLE,IL,60532,11372,-73.91228590655912,40.75326614073526
HILLSIDE MOTORS LLC,Secondhand Dealer Auto - 005,Advertising/General - A01,05/08/2017,06/09/2017,No Consumer Response - NCR,NA,0.00,16110,HILLSIDE AVE,,JAMAICA,NY,11432,11355,-73.80088461802085,40.70824783704339
HK REMODELING INC.,Home Improvement Contractor - 100,Unlicensed,08/29/2017,09/07/2017,Referred to Outside - RTO,NA,0.00,1736,RICHMOND AVE,STE C,STATEN ISLAND,NY,10314,10023,-74.16228224695134,40.60626004143892
LINCOLN ROOFING,Home Improvement Contractor - 100,,04/06/2018,04/16/2018,Consumer Withdrew Complaint - CWC,NA,0.00,8304,TIMBERLINE CT,,MONMOUTH JUNCTION,NJ,08852,11207,-73.90464810539143,40.690536818152026
P. C. RICHARD & SON LONG ISLAND CORPORATION,Appliances - 244,Misrepresentation - M01,10/12/2017,10/23/2017,Store Credit - SCR,Yes,162.00,150,PRICE PKWY,,FARMINGDALE,NY,11735,07057,,
J. GAMA CORPORATION,Jewelry Store-Retail - 823,Exchange Goods/Contract Cancelled - E01,01/27/2017,01/31/2017,Goods Repaired - GRS,Yes,300.00,130,E 116TH ST,,NEW YORK,NY,10029,10026,-73.9416189410132,40.79862231980249
HAIM TOWING INC.,Tow Truck Company - 124,Misrepresentation - M01,04/10/2017,04/21/2017,Cash Amount - AMT,Yes,63.00,2502,HARWAY AVE,,BROOKLYN,NY,11214,11223,-73.99241702098571,40.592661350479844
CIRCLE LINE SIGHTSEEING CRUISES,Sightseeing Bus - 078,Surcharge/Overcharge - S02,08/21/2018,08/30/2018,Cash Amount - AMT,Yes,104.00,83,N RIVER PIERS,,NEW YORK,NY,10036,,,
LOWE'S HOME IMPROVEMENT,Appliances - 244,Defective Goods - D02,08/17/2017,10/03/2017,Referred to Manufacturer - RMF,NA,0.00,1000,LOWES BLVD,,MOORESVILLE,NC,28117,10312,,
"CREDIT CONTROL, LLC",Debt Collection Agency - 122,Billing Dispute - B02,12/28/2016,01/10/2017,Bill Reduced - BLR,Yes,712.00,5757,PHANTOM DR,STE 330,HAZELWOOD,MO,63042,10031,,
REGAL CONTRACTING,Home Improvement Contractor - 100,,08/15/2017,09/06/2017,Advised to Sue - ATS,No,0.00,4040,HYLAN BLVD,,STATEN ISLAND,NY,10308,10308,-74.15376707310831,40.55714520591009
BEAR TRANSPORTATION LLC,Tow Truck Company - 124,Surcharge/Overcharge - S02,12/20/2016,01/23/2017,Cash Amount - AMT,Yes,136.00,953,COLGATE AVE,,BRONX,NY,10473,10469,-73.88055886141574,40.82224298493549
PATIOPLAYSET,Mailorder Misc - 319,Non-Delivery of Goods - N01,08/24/2018,09/19/2018,No Consumer Response - NCR,NA,0.00,167,,,NEW YORK,NY,11434,,,
LIBERTY ACCOUNTING SERVICES INC.,Tax Preparers - 891,Non-Delivery of Service - N02,05/25/2017,07/11/2017,Referred to Outside - RTO,NA,0.00,13677,ROOSEVELT AVE,,FLUSHING,NY,11354,11355,,
JZANUS LTD.,Debt Collection Agency - 122,Billing Dispute - B02,07/14/2017,08/01/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,170,JERICHO TPKE,,FLORAL PARK,NY,11001,10011,,
CITY GADGETS NY INC,Electronic Store - 001,Non-Delivery of Goods - N01,06/19/2017,07/18/2017,Store Credit - SCR,Yes,146.00,608,8TH AVE,,NEW YORK,NY,10018,07001,-73.99096190470391,40.755613002890186
BEST PRICE FURNITURE AND DISCOUNT,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,07/03/2017,07/28/2017,Cash Amount - AMT,Yes,90.00,1557,WESTCHESTER AVE,,BRONX,NY,10472,10472,-73.87751193119672,40.82873104728641
"OUTSIDE IN-MATE PACKAGE PROGRAM, INC.",Mailorder Misc - 319,Misrepresentation - M01,08/09/2017,09/12/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,238,TROY AVE,,BROOKLYN,NY,11213,12458,,
M.D. CONSTRUCTION,Home Improvement Contractor - 100,Non-Delivery of Service - N02,10/18/2017,12/07/2017,Advised to Sue - ATS,No,0.00,193,JEFFERSON AVE,,BROOKLYN,NY,11216,11213,-73.94944294577164,40.683360190773044
"BELL SUBROGATION SERVICES, LLC",Debt Collection Agency - 122,Billing Dispute - B02,10/25/2017,11/13/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,1411,N WEST SHORE BLVD,100,TAMPA,FL,33607,11419,,
PARK WELL LLC,Garage - 049,Surcharge/Overcharge - S02,05/04/2018,05/11/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,270,MADISON AVE,2,NEW YORK,NY,10016,10025,-73.97073947779525,40.7935227052294
CSR LIBERTY INC,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,06/12/2018,06/13/2018,Complaint Invalid - CIN,NA,0.00,13520,LIBERTY AVE,,SOUTH RICHMOND HILL,NY,11419,11435,-73.81160425974808,40.69168745337604
LATINO EMPLOYMENT AGENCY,Employment Agency - 034,Non-Delivery of Service - N02,12/28/2016,02/03/2017,No Business Response - NVR,No,0.00,8912,ROOSEVELT AVE,,JACKSON HEIGHTS,NY,11372,11207,-73.87755154967365,40.74829664923043
PEP BOYS CUSTOMER CARE,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,04/25/2017,04/26/2017,Complaint Invalid - CIN,NA,0.00,3111,W ALLEGHENY AVE,,PHILADELPHIA,PA,19132,11207,-73.93934152196451,40.75720306310966
SEARS HOME SERVICES,Appliances - 244,Advertising/General - A01,12/12/2017,11/20/2017,Cash Amount - AMT,Yes,55.00,13200,SMITH RD,,MIDDLEBURG HEIGHTS,OH,44130,10304,-74.1679787215211,40.57869402095994
GADGETS WORLDWIDE INC,Electronic Store - 001,Non-Delivery of Goods - N01,09/27/2017,10/13/2017,Consumer Withdrew Complaint - CWC,NA,0.00,1414,SAINT NICHOLAS AVE,,NEW YORK,NY,10033,10033,-73.93390462163444,40.84906879803724
EAST AMERICA TRAINING INC.,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,06/15/2017,06/26/2017,Cash Amount - AMT,Yes,600.00,3702,MAIN ST,F8,FLUSHING,NY,11354,11373,-73.83336549985127,40.76424309344887
MARINKA CONSTRUCTION CORP,Home Improvement Contractor - 100,Outstanding Judgment - J01,01/13/2017,03/09/2017,Referred to Hearing - RTH,No,0.00,3016,154TH ST,,FLUSHING,NY,11354,10010,,
"STIVAN PLUMBING & HEATING, INC.",Misc Non-Food Retail - 817,Non-Delivery of Service - N02,02/09/2018,03/01/2018,Advised to Sue - ATS,No,0.00,4216,28TH AVE,3,ASTORIA,NY,11103,11377,-73.91189551390829,40.76462359971116
AUTO QUEENS TOWING CORP.,Tow Truck Company - 124,Billing Dispute - B02,08/07/2018,08/15/2018,Cash Amount - AMT,Yes,70.00,9741,86TH ST,,OZONE PARK,NY,11416,11412,-73.85406613465092,40.68293840565018
RIGGERS CONSTRUCTION CORP.,Home Improvement Contractor - 100,Quality of Work - Q01,09/29/2017,10/31/2017,Cash Amount - AMT,Yes,19000.00,238,NEWKIRK AVE,,BROOKLYN,NY,11230,,-74.00088595376509,40.607184320252905
"QUEENS AUTO MALL, INC.",Secondhand Dealer Auto - 005,Breach of Contract - B03,08/30/2017,10/03/2017,Advised to Sue - ATS,No,0.00,13401,ATLANTIC AVE,,RICHMOND HILL,NY,11418,11050,-73.81520661091679,40.69691111040111
"SEARS, ROEBUCK AND CO.",Appliances - 244,,04/05/2017,05/02/2017,Cash Amount - AMT,Yes,195.00,3333,BEVERLY RD,,HOFFMAN ESTATES,IL,60179,11230,,
MANHATTAN CABINETRY,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,02/22/2018,03/19/2018,No Satisfactory Agreement - NSA,No,0.00,227,E 59TH ST,,NEW YORK,NY,10022,10065,-73.96431417611583,40.76060052051626
GREEN APPLE CLEANERS LLC,Dry Cleaners - 230,Damaged Goods - D01,03/09/2018,03/29/2018,Goods Repaired - GRS,Yes,0.00,92,GREENWICH AVE,,NEW YORK,NY,10011,,-74.00182950840997,40.737797177409945
NEPTUNE AVE WIRELESS INC.,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,07/14/2017,08/21/2017,Goods Exchanged - GEX,Yes,98.00,370,NEPTUNE AVE,,BROOKLYN,NY,11235,11224,-73.96642636701623,40.58057957123933
"COHEN & SLAMOWITZ, LLP",Debt Collection Agency - 122,Billing Dispute - B02,03/02/2018,03/19/2018,Bill Reduced - BLR,Yes,4315.00,199,CROSSWAYS PARK DR,,WOODBURY,NY,11797,11433,,
DEALS AND STEALS,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,05/15/2018,05/25/2018,Goods Exchanged - GEX,Yes,8.00,34,W 125TH ST,,NEW YORK,NY,10027,10455,-73.94334558969092,40.80686284978631
COLUMBUS WINES & SPIRITS,Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,01/03/2018,01/10/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,730,COLUMBUS AVE,,NEW YORK,NY,10025,10025,-73.96770984810344,40.792627114275895
,Home Improvement Contractor - 100,Quality of Work - Q01,08/03/2018,08/23/2018,Complaint Invalid - CIN,NA,0.00,,,,,,,10465,,
EASY SHOPPING FURNITURE STORE,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,07/18/2017,07/21/2017,Cash Amount - AMT,Yes,100.00,310,E 149TH ST,,BRONX,NY,10451,11203,-73.92110388745148,40.81695035386407
ICON QUIK PARK SYSTEMS,Garage - 049,Damaged Goods - D01,04/11/2017,05/17/2017,Cash Amount - AMT,Yes,689.00,270,MADISON AVE,2,NEW YORK,NY,10016,07081,-73.98693988186386,40.761126808576385
"SOLOMON AND SOLOMON, P.C.",Debt Collection Agency - 122,Billing Dispute - B02,03/24/2017,04/11/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,,,,,,,11429,,
"GERMAN KITCHEN CENTER NEW YORK, LLC",Home Improvement Contractor - 100,Quality of Work - Q01,04/13/2017,06/07/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,2003,BROADWAY,,NEW YORK,NY,10023,11361,-73.98216749046871,40.775678781990315
"CARSBUCK, INC",Secondhand Dealer Auto - 005,Billing Dispute - B02,03/15/2018,03/19/2018,Complaint Invalid - CIN,NA,0.00,776,CONEY ISLAND AVE,,BROOKLYN,NY,11218,11374,-73.96857712573518,40.63848437146751
TRANSWORLD SYSTEMS INC.,Debt Collection Agency - 122,Billing Dispute - B02,05/16/2017,05/31/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,500,VIRGINIA DR,514,FT WASHINGTON,PA,19034,11431,,
T-MOBILE NORTHEAST LLC,Electronic Store - 001,Breach of Contract - B03,01/26/2018,03/01/2018,Advised to Sue - ATS,No,0.00,2711,CENTERVILLE RD,,WILMINGTON,DE,19808,10457,-73.91739370854535,40.84010766384817
J & B WIRELESS & ACCESSORIES INC,Electronic Store - 001,Misrepresentation - M01,10/06/2017,11/06/2017,Out of Business - OOB,NA,0.00,3779,JUNCTION BLVD,,CORONA,NY,11368,11373,,
KMART CORPORATION,Retail Store - 820,Exchange Goods/Contract Cancelled - E01,04/03/2017,04/19/2017,Consumer Took Action - CTA,No,0.00,3333,BEVERLY RD,B22-113A,HOFFMAN ESTATES,IL,60179,10473,-73.85681654588639,40.82595425638907
HOME DEPOT USA INC,Appliances - 244,Defective Goods - D02,12/27/2016,01/24/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,522.00,2455,PACES FERRY RD SE,,ATLANTA,GA,30339,11221,,
EXOTIC FURNITURE,Furniture Sales - 242,Damaged Goods - D01,12/06/2016,01/12/2017,Goods Exchanged - GEX,Yes,0.00,1370,SAINT NICHOLAS AVE,,NEW YORK,NY,10033,10039,-73.93485290083406,40.84777109169902
P. C. RICHARD & SON LONG ISLAND CORPORATION,Electronic Store - 001,Misrepresentation - M01,10/13/2017,11/02/2017,Complaint Invalid - CIN,NA,0.00,150,PRICE PKWY,,FARMINGDALE,NY,11735,10452,,
RAYMOUR & FLANIGAN FURNITURE,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,01/26/2018,02/13/2018,Goods Received - GDR,Yes,0.00,7248,MORGAN RD,,LIVERPOOL,NY,13090,11373,-73.87737106134466,40.736551657739135
"CONVERGENT OUTSOURCING, INC.",Debt Collection Agency - 122,Billing Dispute - B02,10/13/2017,10/24/2017,Bill Reduced - BLR,Yes,0.00,PO BOX,9004,,RENTON,WA,98057,10462,,
"LIBERTY AUTO PARTS, INC.",Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,06/06/2017,06/16/2017,Store Credit - SCR,Yes,191.00,9709,150TH ST,,JAMAICA,NY,11435,11003,-73.80251538308453,40.698358487562
ONE TRAVEL,Travel Agency - 440,Refund Policy - R01,01/05/2018,01/22/2018,Complaint Invalid - CIN,NA,0.00,1050,E FLAMINGO RD,E120,LAS VEGAS,NV,89119,07095,,
PACIFIC PARKING LLC,Garage - 049,Misrepresentation - M01,04/03/2018,04/13/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,1177,HIGH RIDGE RD,STE 113,STAMFORD,CT,06905,11238,,
"CLIENT SERVICES, INC.",Debt Collection Agency - 122,Billing Dispute - B02,07/24/2017,08/11/2017,Bill Reduced - BLR,Yes,12673.00,3451,HARRY S TRUMAN BLVD,,SAINT CHARLES,MO,63301,11104,,
DWORTH LLC,Home Improvement Contractor - 100,Quality of Work - Q01,03/29/2017,04/28/2017,Referred to Hearing - RTH,No,0.00,160,RIVERSIDE BLVD,602,NEW YORK,NY,10069,11235,-73.953574657616,40.58532085990126
SLEEPY'S  LLC,Furniture Sales - 242,Damaged Goods - D01,11/22/2017,12/26/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,1000,S OYSTER BAY RD,,HICKSVILLE,NY,11801,11373,-73.87163802142506,40.75301392618723
EASTERN VISION TRAVEL INC.,Travel Agency - 440,Surcharge/Overcharge - S02,04/14/2017,04/21/2017,Cash Amount - AMT,Yes,472.00,2,MOTT ST,802,NEW YORK,NY,10013,11214,,
RELIABLE RENOVATIONS USA INC.,Home Improvement Contractor - 100,Breach of Contract - B03,01/12/2018,02/02/2018,Advised to Sue - ATS,No,0.00,6910,108TH ST,APT 8C,FOREST HILLS,NY,11375,11375,-73.84537013587463,40.72468322220967
"BEST BUY STORES, L.P.",Electronic Store - 001,Advertising/Misleading - A02,04/06/2017,05/18/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,381.00,2200,CABOT DR,STE 200,LISLE,IL,60532,10011,-73.99142923577988,40.74232022359292
E. 149TH ST. MUNICIPAL PARKING GARAGE,Garage - 049,Exchange Goods/Contract Cancelled - E01,08/16/2017,08/24/2017,Referred to Outside - RTO,NA,0.00,315,E 149TH ST,,BRONX,NY,10451,10451,-73.9208799435277,40.81690902960233
WIDE WORLD INC.,Secondhand Dealer Auto - 005,Damaged Goods - D01,02/22/2018,03/21/2018,Complaint Invalid - CIN,NA,0.00,660,UTICA AVE,,BROOKLYN,NY,11203,11213,-73.930994977238,40.65737952445114
"LIBERTY AUTO PARTS, INC.",Secondhand Dealer [General] - 006,Non-Delivery of Goods - N01,07/10/2018,07/25/2018,Cash Amount - AMT,Yes,60.00,9709,150TH ST,,JAMAICA,NY,11435,,-73.80213784005339,40.697979060326695
QUIK PARK 61ST STREET LLC,Garage - 049,Damaged Goods - D01,11/30/2016,01/19/2017,Cash Amount - AMT,Yes,720.00,247,W 37TH ST,,NEW YORK,NY,10018,10980,,
"TIP TOP ALUMINUM PRODUCTS, INC.",Home Improvement Contractor - 100,Quality of Work - Q01,04/14/2017,05/17/2017,Referred to Hearing - RTH,No,0.00,1570,62ND ST,,BROOKLYN,NY,11219,11219,,
P. C. RICHARD & SON LONG ISLAND CORPORATION,Appliances - 244,Misrepresentation - M01,11/16/2017,11/29/2017,Referred to Outside - RTO,NA,0.00,150,PRICE PKWY,,FARMINGDALE,NY,11735,10475,,
RAINBOW FURNITURE INC,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,06/28/2017,07/26/2017,Advised to Sue - ATS,No,0.00,1164,LIBERTY AVE,,BROOKLYN,NY,11208,11216,-73.86642700398464,40.67878959300017
HOME DEPOT USA INC,Appliances - 244,Misrepresentation - M01,12/19/2016,01/17/2017,Cash Amount - AMT,Yes,466.00,2455,PACES FERRY RD SE,,ATLANTA,GA,30339,10469,,
SPRINT SPECTRUM L.P.,Electronic Store - 001,Surcharge/Overcharge - S02,01/12/2018,02/02/2018,Store Credit - SCR,Yes,128.00,,P O BOX 8000,,MONSEY,NY,10952,11215,,
GO LOCKSMITH,Locksmith - 062,Quality of Work - Q01,03/03/2017,04/13/2017,No Business Response - NVR,No,0.00,408,W 39TH ST,,NEW YORK,NY,10018,11239,-73.99485648048633,40.75606338086248
DRY CLEAN NYC LLC,Dry Cleaners - 230,Quality of Work - Q01,12/30/2016,01/25/2017,No Satisfactory Agreement - NSA,No,0.00,323,ADMIRAL LN,,BRONX,NY,10473,10040,,
BEST BUY,Electronic Store - 001,Damaged Goods - D01,06/20/2018,07/19/2018,No Satisfactory Preempted - NSP,NA,0.00,,,,,,,11101,-73.91201448869406,40.75380939377618
"MIDDLE VILLAGE CONSTRUCTION, INC.",Home Improvement Contractor - 100,Quality of Work - Q01,08/23/2017,09/25/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,6904,80TH ST,,MIDDLE VLG,NY,11379,11378,-73.8703108871869,40.70980995187866
